L_explain,L_avail,C_ref,L_exam,C_dept,C_incorporated,T_net,I_interclass,I_inquire,I_consult,L_covers,T_comp,SATISFIED
4,3,2,4,4,5,4,4,4,4,4,4,YES
1,1,1,4,1,1,4,4,5,1,5,1,NO
5,4,2,5,4,4,1,4,4,4,5,4,YES
4,1,1,3,1,1,1,2,1,2,2,1,NO
4,2,5,4,2,2,2,4,5,3,4,4,YES
1,4,1,4,2,1,1,4,4,3,4,1,NO
3,3,1,4,1,1,1,4,4,3,4,1,NO
4,2,1,4,1,1,1,3,3,3,4,1,NO
3,4,5,4,3,3,2,2,3,4,5,4,YES
2,3,4,4,1,4,1,4,3,4,4,3,YES
